,Unnamed: 0,Date,Team,Acquired,Relinquished,Notes,Affected Player,Season,Injury Type,Injury Part,Injury Duration
2082,27929.0,2019-01-26,Nuggets,,Jamal Murray,placed on IL with sprained left ankle,Jamal Murray,2018-19,sprained left ankle,foot,11
2083,27930.0,2019-01-26,Pacers,,Victor Oladipo,placed on IL recovering from surgery on right knee to repair ruptured quadriceps tendon (out for season),Victor Oladipo,2018-19,L recovering from surgery on right knee to repair ruptured quadriceps tendon (out for season),knee,248
2084,27926.0,2019-01-26,Grizzlies,,Garrett Temple,placed on IL with sprained left shoulder,Garrett Temple,2018-19,sprained left shoulder,upper body,14
2085,27939.0,2019-01-28,Knicks,,Frank Ntilikina,placed on IL with groin injury,Frank Ntilikina,2018-19,groin injury,upper leg,53
2086,27935.0,2019-01-28,Celtics,,Kyrie Irving,placed on IL with strained left hip,Kyrie Irving,2018-19,strained left hip,core and hip,4
2087,27938.0,2019-01-28,Heat,,Derrick Jones Jr.,placed on IL with bone bruse in right knee,Derrick Jones Jr.,2018-19,bone bruse in right knee,knee,24
2088,27941.0,2019-01-28,Nets,,Spencer Dinwiddie,placed on IL with right thumb injury,Spencer Dinwiddie,2018-19,right thumb injury,hand,32
2089,27942.0,2019-01-28,Pacers,,Tyreke Evans,placed on IL with sore lower back,Tyreke Evans,2018-19,sore lower back,back,5
2090,27949.0,2019-01-29,Bucks,,Malcolm Brogdon,placed on IL with sternum injury,Malcolm Brogdon,2018-19,sternum injury,upper body,2
2091,27944.0,2019-01-29,76ers,,Jonah Bolden,placed on IL with sore right Achilles,Jonah Bolden,2018-19,sore right Achilles,foot,2
2092,27952.0,2019-01-29,Pistons,,Reggie Bullock,placed on IL with sprained left ankle,Reggie Bullock,2018-19,sprained left ankle,foot,2
2093,27953.0,2019-01-29,Thunder,,Terrance Ferguson,placed on IL with back spasms,Terrance Ferguson,2018-19,back spasms,back,3
2094,27951.0,2019-01-29,Pelicans,,Julius Randle,placed on IL with sprained right ankle,Julius Randle,2018-19,sprained right ankle,foot,8
2095,27956.0,2019-01-30,Hawks,,Tyler Dorsey,placed on IL with bruised left knee,Tyler Dorsey,2018-19,bruised left knee,knee,2
2096,27958.0,2019-01-30,Hornets,,Tony Parker,placed on IL with sore right ankle,Tony Parker,2018-19,sore right ankle,foot,2
2097,27964.0,2019-01-31,Magic,,Jonathon Simmons,placed on IL with strained abdominal,Jonathon Simmons,2018-19,strained abdominal,core and hip,10
2098,27980.0,2019-02-01,Nuggets,,Gary Harris,placed on IL with right adductor injury,Gary Harris,2018-19,right adductor injury,upper leg,21
2099,27974.0,2019-02-01,Grizzlies,,Mike Conley,placed on IL with sore left knee,Mike Conley,2018-19,sore left knee,knee,2
2100,27990.0,2019-02-02,Mavericks,,Tim Hardaway Jr.,placed on IL with hamstring injury,Tim Hardaway Jr.,2018-19,hamstring injury,upper leg,4
2101,27985.0,2019-02-02,Bucks,,Jason Smith,placed on IL with sore left knee,Jason Smith,2018-19,sore left knee,knee,6
2102,27992.0,2019-02-02,Pacers,,Doug McDermott,placed on IL with rib injury,Doug McDermott,2018-19,rib injury,core and hip,9
2103,27983.0,2019-02-02,76ers,,Wilson Chandler,placed on IL with strained right quadriceps,Wilson Chandler,2018-19,strained right quadriceps,upper leg,34
2104,28002.0,2019-02-03,Raptors,,Kyle Lowry,placed on IL with sore lower back,Kyle Lowry,2018-19,sore lower back,back,2
2105,27997.0,2019-02-03,Celtics,,Aron Baynes,placed on IL with bruised left foot,Aron Baynes,2018-19,bruised left foot,foot,28
2106,28003.0,2019-02-04,Rockets,,Eric Gordon,placed on IL with sore right knee,Eric Gordon,2018-19,sore right knee,knee,2
2107,28004.0,2019-02-04,Spurs,,Derrick White,placed on IL with right heel injury,Derrick White,2018-19,right heel injury,foot,18
2108,28006.0,2019-02-04,Wizards,,Troy Brown Jr.,placed on IL with sprained left ankle,Troy Brown Jr.,2018-19,sprained left ankle,foot,17
2109,28011.0,2019-02-05,Cavaliers,,Cedi Osman,placed on IL with sprained right ankle,Cedi Osman,2018-19,sprained right ankle,foot,8
2110,28013.0,2019-02-05,Celtics,,Kyrie Irving,placed on IL with strained left hip,Kyrie Irving,2018-19,strained left hip,core and hip,2
2111,28012.0,2019-02-05,Cavaliers,,Nik Stauskas,placed on IL with sore left knee,Nik Stauskas,2018-19,sore left knee,knee,3
2112,28017.0,2019-02-05,Magic,,Mo Bamba,placed on IL with left tibia injury (out for season),Mo Bamba,2018-19,left tibia injury ,lower leg,238
2113,28018.0,2019-02-05,Pistons,,Ish Smith,placed on IL with right adductor injury,Ish Smith,2018-19,right adductor injury,upper leg,3
